fecha,periodo,naturaleza_finca,tipo_interes,tipo_hipotecario
2014-03-01,2014M03,Viviendas,Variable,3.95
2014-04-01,2014M04,Total fincas,Fijo,5.71
2014-04-01,2014M04,Total fincas,Total,3.9
2014-04-01,2014M04,Total fincas,Variable,3.75
2014-04-01,2014M04,Viviendas,Fijo,5.71
2014-04-01,2014M04,Viviendas,Total,4.03
2014-04-01,2014M04,Viviendas,Variable,3.94
2014-05-01,2014M05,Total fincas,Fijo,5.75
2014-05-01,2014M05,Total fincas,Total,3.83
2014-05-01,2014M05,Total fincas,Variable,3.72
2014-05-01,2014M05,Viviendas,Fijo,5.8
2014-05-01,2014M05,Viviendas,Total,3.83
2014-05-01,2014M05,Viviendas,Variable,3.75
2014-06-01,2014M06,Total fincas,Fijo,5.71
2014-06-01,2014M06,Total fincas,Total,3.95
2014-06-01,2014M06,Total fincas,Variable,3.68
2014-06-01,2014M06,Viviendas,Fijo,5.42
2014-06-01,2014M06,Viviendas,Total,3.88
2014-06-01,2014M06,Viviendas,Variable,3.81
2014-07-01,2014M07,Total fincas,Fijo,5.65
2014-07-01,2014M07,Total fincas,Total,3.83
2014-07-01,2014M07,Total fincas,Variable,3.69
2014-07-01,2014M07,Viviendas,Fijo,5.67
2014-07-01,2014M07,Viviendas,Total,3.86
2014-07-01,2014M07,Viviendas,Variable,3.79
2014-08-01,2014M08,Total fincas,Fijo,6.0
2014-08-01,2014M08,Total fincas,Total,4.12
2014-08-01,2014M08,Total fincas,Variable,3.84
2014-08-01,2014M08,Viviendas,Fijo,5.27
2014-08-01,2014M08,Viviendas,Total,3.79
2014-08-01,2014M08,Viviendas,Variable,3.73
2014-09-01,2014M09,Total fincas,Fijo,5.21
2014-09-01,2014M09,Total fincas,Total,3.74
2014-09-01,2014M09,Total fincas,Variable,3.64
2014-09-01,2014M09,Viviendas,Fijo,5.16
2014-09-01,2014M09,Viviendas,Total,3.68
2014-09-01,2014M09,Viviendas,Variable,3.61
2014-10-01,2014M10,Total fincas,Fijo,5.56
2014-10-01,2014M10,Total fincas,Total,3.76
2014-10-01,2014M10,Total fincas,Variable,3.58
2014-10-01,2014M10,Viviendas,Fijo,5.46
2014-10-01,2014M10,Viviendas,Total,3.6
