origin_date,horizon_months,target_date,model,forecast,lower_80,upper_80,lower_95,upper_95,observed,error,abs_error,squared_error,covered_80,covered_95
2023-01-01,1,2023-02-01,naive,2.64,2.5010474750055707,2.7789525249944296,2.427490451518234,2.852509548481766,2.86,0.21999999999999975,0.21999999999999975,0.04839999999999989,False,False
2023-01-01,3,2023-04-01,naive,2.64,2.399327166869664,2.8806728331303364,2.27192266493606,3.0080773350639403,3.08,0.43999999999999995,0.43999999999999995,0.19359999999999997,False,False
2023-01-01,6,2023-07-01,naive,2.64,2.299637215292322,2.9803627847076783,2.11946004075043,3.1605399592495704,3.23,0.5899999999999999,0.5899999999999999,0.34809999999999985,False,False
2023-01-01,1,2023-02-01,ets,2.7477567629615107,2.625077955538287,2.8704355703847346,2.560135717753185,2.9353778081698363,2.86,0.11224323703848915,0.11224323703848915,0.012598544260878463,True,True
2023-01-01,3,2023-04-01,ets,2.879592255381063,2.6944644692750535,3.0647200414870728,2.59646373908822,3.1627207716739063,3.08,0.20040774461893696,0.20040774461893696,0.04016326410324905,False,True
2023-01-01,6,2023-07-01,ets,3.0101547860056934,2.7204843510763124,3.2998252209350745,2.5671420855324394,3.4531674864789474,3.23,0.21984521399430657,0.21984521399430657,0.048331918116202445,True,True
2023-01-01,1,2023-02-01,arima,2.7441740542911646,2.6218909545397593,2.86645715404257,2.5571581917426887,2.9311899168396405,2.86,0.11582594570883531,0.11582594570883531,0.013415649699346065,True,True
2023-01-01,3,2023-04-01,arima,2.8546777867313473,2.670565003986651,3.0387905694760438,2.573101584122827,3.1362539893398678,3.08,0.22532221326865276,0.22532221326865276,0.05077009979228424,False,True
2023-01-01,6,2023-07-01,arima,2.9450506243580032,2.6628443099779364,3.22725693873807,2.5134533111748456,3.376647937541161,3.23,0.28494937564199674,0.28494937564199674,0.08119614667876376,False,True
2023-01-01,1,2023-02-01,arimax_euribor,2.7089628945332023,2.5871330719018806,2.830792717164524,2.522640259517871,2.8952855295485334,2.86,0.1510371054667976,0.1510371054667976,0.022812207227788543,False,True
2023-01-01,3,2023-04-01,arimax_euribor,2.7818573331118275,2.600812245296413,2.962902420927242,2.504972765033357,3.058741901190298,3.08,0.2981426668881726,0.2981426668881726,0.08888904981919185,False,False
2023-01-01,6,2023-07-01,arimax_euribor,2.8462613427778027,2.5853637243021472,3.1071589612534583,2.4472528677288437,3.245269817826762,3.23,0.38373865722219724,0.38373865722219724,0.14725535704669498,False,True
2023-02-01,1,2023-03-01,naive,2.86,2.7195147379846834,3.0004852620153164,2.645146332530378,3.074853667469622,2.98,0.1200000000000001,0.1200000000000001,0.014400000000000026,True,True
2023-02-01,3,2023-05-01,naive,2.86,2.616672388474846,3.103327611525154,2.487862531750106,3.232137468249894,3.15,0.29000000000000004,0.29000000000000004,0.08410000000000002,False,True
2023-02-01,6,2023-08-01,naive,2.86,2.515882791681275,3.2041172083187246,2.333718145333813,3.3862818546661866,3.24,0.38000000000000034,0.38000000000000034,0.14440000000000025,False,True
2023-02-01,1,2023-03-01,ets,2.91403530368639,2.79129398398443,3.03677662338835,2.726318654197903,3.101751953174877,2.98,0.06596469631361002,0.06596469631361002,0.004351341159746795,True,True
2023-02-01,3,2023-05-01,ets,3.065491395528022,2.8807275271188737,3.2502552639371705,2.782919443323867,3.348063347732177,3.15,0.08450860447197783,0.08450860447197783,0.0071417042298011916,True,True
2023-02-01,6,2023-08-01,ets,3.2170187842830456,2.9220627163269994,3.5119748522390917,2.7659224056759686,3.6681151628901225,3.24,0.02298121571695466,0.02298121571695466,0.000528136275829204,True,True
2023-02-01,1,2023-03-01,arima,2.9038614338577737,2.781515463731538,3.0262074039840097,2.7167494193684196,3.090973448347128,2.98,0.07613856614222625,0.07613856614222625,0.005797081254194161,True,True
2023-02-01,3,2023-05-01,arima,3.030500707540892,2.84686992747223,3.214131487609554,2.7496616644122382,3.311339750669546,3.15,0.11949929245910784,0.11949929245910784,0.014280080898227389,True,True
2023-02-01,6,2023-08-01,arima,3.1361021942847818,2.8493900907297496,3.422814297839814,2.69761387121775,3.5745905173518135,3.24,0.10389780571521845,0.10389780571521845,0.010794754032437279,True,True
2023-02-01,1,2023-03-01,arimax_euribor,2.8688392129885107,2.7465302293492817,2.99114819662774,2.6817837644496785,3.055894661527343,2.98,0.11116078701148924,0.11116078701148924,0.012356720569013675,True,True
2023-02-01,3,2023-05-01,arimax_euribor,2.9553633879601935,2.772827034057224,3.137899741863163,2.6761981252132014,3.2345286507071855,3.15,0.19463661203980642,0.19463661203980642,0.03788341074633412,False,True
2023-02-01,6,2023-08-01,arimax_euribor,3.0338041606555546,2.7685634421430323,3.299044879168077,2.628153487288266,3.4394548340228432,3.24,0.20619583934444563,0.20619583934444563,0.042516724162960436,True,True
2023-03-01,1,2023-04-01,naive,2.98,2.8393036016273285,3.1206963983726714,2.7648234273368852,3.1951765726631147,3.08,0.10000000000000009,0.10000000000000009,0.010000000000000018,True,True
2023-03-01,3,2023-06-01,naive,2.98,2.7363066895765815,3.2236933104234184,2.607303243548949,3.352696756451051,3.17,0.18999999999999995,0.18999999999999995,0.03609999999999998,True,True
2023-03-01,6,2023-09-01,naive,2.98,2.6353656153396052,3.3246343846603947,2.452927192374461,3.507072807625539,3.27,0.29000000000000004,0.29000000000000004,0.08410000000000002,True,True
2023-03-01,1,2023-04-01,ets,3.0480416344459247,2.9255029303630287,3.1705803385288207,2.8606348588062525,3.235448410085597,3.08,0.031958365554075385,0.031958365554075385,0.001021337128887912,True,True
2023-03-01,3,2023-06-01,ets,3.198921804205352,3.0145336222376913,3.3833099861730127,2.9169244148315916,3.4809191935791124,3.17,-0.028921804205352064,0.028921804205352064,0.0008364707584927203,True,True
2023-03-01,6,2023-09-01,ets,3.351299434635003,3.0544486968540556,3.6481501724159506,2.897305408583031,3.805293460686975,3.27,-0.08129943463500311,0.08129943463500311,0.006609598071971143,True,True
2023-03-01,1,2023-04-01,arima,3.035339600384883,2.9131490933013637,3.1575301074684026,2.8484653461018627,3.2222138546679036,3.08,0.04466039961511692,0.04466039961511692,0.0019945512937819356,True,True
2023-03-01,3,2023-06-01,arima,3.161818651235529,2.978647186128332,3.344990116342726,2.8816820697215584,3.4419552327494993,3.17,0.008181348764471075,0.008181348764471075,6.693446760591239e-05,True,True
2023-03-01,6,2023-09-01,arima,3.2690703516794577,2.980604978089289,3.5575357252696262,2.8279006334844974,3.710240069874418,3.27,0.00092964832054232,0.00092964832054232,8.642459998871563e-07,True,True
2023-03-01,1,2023-04-01,arimax_euribor,2.941957100407457,2.817811879247586,3.0661023215673278,2.752093368921392,3.131820831893522,3.08,0.13804289959254312,0.13804289959254312,0.01905584212791694,False,True
2023-03-01,3,2023-06-01,arimax_euribor,2.944888033685037,2.7650610637127695,3.124715003657305,2.669866416084474,3.2199096512856005,3.17,0.22511196631496277,0.22511196631496277,0.050675397378188936,False,True
2023-03-01,6,2023-09-01,arimax_euribor,2.928666765716858,2.687167776208814,3.170165755224902,2.5593259335066154,3.298007597927101,3.27,0.3413332342831419,0.3413332342831419,0.11650837682619022,False,True
2023-04-01,1,2023-05-01,naive,3.08,2.9392720042864613,3.220727995713539,2.8647751033741424,3.2952248966258577,3.15,0.06999999999999984,0.06999999999999984,0.004899999999999977,True,True
2023-04-01,3,2023-07-01,naive,3.08,2.8362519613768162,3.323748038623184,2.707219543990255,3.4527804560097453,3.23,0.1499999999999999,0.1499999999999999,0.022499999999999975,True,True
2023-04-01,6,2023-10-01,naive,3.08,2.735288217977252,3.424711782022748,2.5528088233233914,3.6071911766766087,3.31,0.22999999999999998,0.22999999999999998,0.05289999999999999,True,True
2023-04-01,1,2023-05-01,ets,3.1539683095304514,3.031748623790098,3.2761879952708046,2.9670494303427066,3.340887188718196,3.15,-0.003968309530451464,0.003968309530451464,1.5747480529471916e-05,True,True
2023-04-01,3,2023-07-01,ets,3.292973133690138,3.1090917622524152,3.4768545051278608,3.0117508441347307,3.5741954232455453,3.23,-0.06297313369013802,0.06297313369013802,0.003965615566755996,True,True
2023-04-01,6,2023-10-01,ets,3.4340913953271266,3.1371528927572077,3.7310298978970455,2.979963144613331,3.8882196460409224,3.31,-0.12409139532712654,0.12409139532712654,0.015398674394233203,True,True
2023-04-01,1,2023-05-01,arima,3.140402422442031,3.018506230710667,3.262298614173395,2.95397828464736,3.326826560236702,3.15,0.009597577557968862,0.009597577557968862,9.211349498122753e-05,True,True
2023-04-01,3,2023-07-01,arima,3.2562225550601145,3.073488398286384,3.438956711833845,2.9767547789276656,3.5356903311925634,3.23,-0.026222555060114505,0.026222555060114505,0.0006876223938807369,True,True
2023-04-01,6,2023-10-01,arima,3.354861095372914,3.065921694713893,3.6438004960319352,2.912966415336677,3.796755775409151,3.31,-0.04486109537291405,0.04486109537291405,0.0020125178780576905,True,True
2023-04-01,1,2023-05-01,arimax_euribor,3.084915312742183,2.9574730588753755,3.2123575666089903,2.89000920486239,3.2798214206219756,3.15,0.06508468725781702,0.06508468725781702,0.004236016515447849,True,True
2023-04-01,3,2023-07-01,arimax_euribor,3.134700501150828,2.9332109959445094,3.3361900063571466,2.8265488948599327,3.4428521074417233,3.23,0.09529949884917199,0.09529949884917199,0.009081994480903334,True,True
2023-04-01,6,2023-10-01,arimax_euribor,3.160763603162036,2.873162110171056,3.448365096153016,2.7209150763314147,3.6006121299926575,3.31,0.14923639683796397,0.14923639683796397,0.022271502141178262,True,True
